timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782571995.810934,61.93883466720581,drone_1,,hover,,,,,,,,,,-0.01,0.014,1.031,0.177,-0.07,-0.009,0.0,0.0,0.0,12391,12330,12285,12755,7.331
1782571996.0753121,62.20321273803711,drone_1,,hover,,,,,,,,,,-0.006,0.02,0.998,0.043,0.056,0.028,0.0,0.0,0.0,12453,12594,12315,12562,7.326
1782571996.3759606,62.50386118888855,drone_1,,hover,,,,,,,,,,0.0,0.027,1.016,0.04,-0.006,0.012,0.0,0.0,0.0,12468,12722,12468,12594,7.331
1782571996.8437765,62.97167706489563,drone_1,,hover,,,,,,,,,,0.003,0.027,1.018,0.0,0.083,-0.011,0.0,0.0,0.0,12468,12674,12345,12771,7.323
1782571997.1655378,63.29343843460083,drone_1,,hover,,,,,,,,,,0.004,0.019,1.099,-0.09,0.175,0.037,0.0,0.0,0.0,12269,12870,12437,12360,7.317
1782571997.4097762,63.53767681121826,drone_1,,hover,,,,,,,,,,-0.004,0.021,0.981,0.03,-0.036,-0.001,0.0,0.0,0.0,11947,13106,12919,12165,7.325
1782571997.6890895,63.81699013710022,drone_1,,hover,,,,,,,,,,0.004,0.034,1.035,0.02,0.115,-0.039,0.0,0.0,0.0,12165,13071,12722,12239,7.322
1782571998.0006976,64.1285982131958,drone_1,,hover,,,,,,,,,,0.01,0.025,0.944,-0.054,-0.02,-0.005,0.0,0.0,0.0,12300,12987,12738,12484,7.318
1782571998.4248176,64.55271816253662,drone_1,,hover,,,,,,,,,,0.0,0.024,0.988,0.119,-0.003,-0.013,0.0,0.0,0.0,12391,12886,12269,12886,7.316
1782571998.7286272,64.85652780532837,drone_1,,hover,,,,,,,,,,0.019,0.01,1.053,-0.102,0.023,0.011,0.0,0.0,0.0,12547,12804,12210,12870,7.318
1782571999.0094855,65.1373860836029,drone_1,,hover,,,,,,,,,,0.011,0.0,0.989,0.068,0.01,0.02,0.0,0.0,0.0,12578,12903,12195,12755,7.316
1782571999.370516,65.49841666221619,drone_1,,hover,,,,,,,,,,0.001,0.015,1.036,-0.022,0.128,-0.026,0.0,0.0,0.0,12919,12610,11723,13157,7.32
1782572000.2444618,66.3723623752594,drone_1,,hover,,,,,,,,,,0.007,-0.001,0.954,0.021,0.054,0.033,0.0,0.0,0.0,12642,12500,11904,13071,7.321
1782572000.8808415,67.00874209403992,drone_1,,hover,,,,,,,,,,-0.009,0.011,0.966,0.057,-0.012,-0.045,0.0,0.0,0.0,13227,12165,11890,13333,7.312
1782572001.4033756,67.5312762260437,drone_1,,hover,,,,,,,,,,0.007,0.021,1.059,0.011,-0.052,0.009,0.0,0.0,0.0,12953,12285,12195,12722,7.316
